"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Crested Butte, Colorado, United States","38.89382","-106.96731","Great Views!  2 Bed 2 Bath  Condo in 4 unit bldg","6","Entire condo","5","https://www.airbnb.com/rooms/40501746"
"Crested Butte, Colorado, United States","38.90073","-106.96355","Ski in-Out 2Bdrm condo with Hot Tub, Trail Access","4","Entire condo","5","https://www.airbnb.com/rooms/44247445"
"Mt Crested Butte, Colorado, United States","38.90061","-106.96528","Penthouse Views, Garage, Luxury, Location!","7","Entire condo","5","https://www.airbnb.com/rooms/22740011"
"Snowmass Village, Colorado, United States","39.2181","-106.9254","Snowmass Club Access ~ Renovated ~ Villas 1531","4","Entire serviced apartment",,"https://www.airbnb.com/rooms/34363386"
"Crested Butte, Colorado, United States","38.903","-106.968","Evergreen 2br- Renovated Kitchen - No Cleaning Fee!","6","Entire condo","5","https://www.airbnb.com/rooms/31806960"
"Crested Butte, Colorado, United States","38.90112","-106.96952","Spacious 2 Bed 2 Bath Mt CB Condo steps to Hot Tub","5","Entire condo","5","https://www.airbnb.com/rooms/49948390"
"Snowmass Village, Colorado, United States","39.21451","-106.94265","Couples or Friends, Walk to the Slopes. Modern!","4","Entire condo","5","https://www.airbnb.com/rooms/30511087"
"Crested Butte, Colorado, United States","38.89972","-106.96833","Snowcrest Suite: Hot Tub, 2 Min Walk to Base Area!","6","Entire condo","5","https://www.airbnb.com/rooms/50892509"
"Crested Butte, Colorado, United States","38.86772","-106.98818","Ice House","8","Entire home","4.5","https://www.airbnb.com/rooms/15704963"
"Crested Butte, Colorado, United States","38.873","-106.979","""Teocalli Time"" Lovely 3 BR House Downtown Crested Butte.  Walk to town or shuttle bus to Mt CB!","8","Entire home",,"https://www.airbnb.com/rooms/46923422"
"Crested Butte, Colorado, United States","38.8724","-106.98006","Gothic Manor at Crested Butte","7","Entire townhouse","5","https://www.airbnb.com/rooms/14068563"
"Aspen, Colorado, United States","39.20575","-106.94804","Woodrun Place ~ Ski-In/Ski-Out ~ 2 Bedroom Condo","6","Entire condo",,"https://www.airbnb.com/rooms/50482016"
"Crested Butte, Colorado, United States","38.8939","-106.96821","Beautiful Mt. Crested Butte condo with a view!","9","Entire condo","5","https://www.airbnb.com/rooms/9478775"
"Aspen, Colorado, United States","39.18712","-106.81226","Charming, Aspen condo w/views and a balcony","6","Entire rental unit","5","https://www.airbnb.com/rooms/5326568"
"Redstone, Colorado, United States","39.18643","-107.23499","On River Time Redstone-near Carbondale, Aspen, GWS","6","Entire home","5","https://www.airbnb.com/rooms/23960307"
"Aspen, Colorado, United States","39.18476","-106.8145","Beautiful, 3 Bedroom 2 bath condo steps from town.","8","Entire condo","5","https://www.airbnb.com/rooms/24492610"
"Aspen, Colorado, United States","39.18842","-106.81803","Independence Square Unit 309","3","Room in hotel","4.5","https://www.airbnb.com/rooms/19716725"
"Aspen, Colorado, United States","39.21032","-106.9476","AC/Ski-In/Ski-Out! Base Village Condo!","6","Entire condo","5","https://www.airbnb.com/rooms/19118069"
"Aspen, Colorado, United States","39.21853","-106.92232","Villas at Snowmass Club 1637: Snowmass Club Access","4","Entire condo","5","https://www.airbnb.com/rooms/42709267"
"Aspen, Colorado, United States","39.1904","-106.82565","St Moritz Lodge / 2 Bedroom Condo- 1 Bath","4","Entire condo","5","https://www.airbnb.com/rooms/17042567"
"Snowmass Village, Colorado, United States","39.20909","-106.95154","Private Slopeside Condo! ~ Terracehouse","5","Entire condo","4.5","https://www.airbnb.com/rooms/13465496"
"Snowmass Village, Colorado, United States","39.20818","-106.95034","Capitol Peak Lodge B Oversized Luxury 1 Br, 1 Bath","4","Entire condo","5","https://www.airbnb.com/rooms/15886347"
"Snowmass Village, Colorado, United States","39.20421","-106.95761","🌲Hot Tub~Pool~WiFi~Ski-in/out~Local Shuttle~Timberline 1 bedroom+Loft, Deluxe~Condo A3C🌲","4","Entire condo","4.5","https://www.airbnb.com/rooms/45672472"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3310 - Luxurious Corner Two Bed","5","Entire condo",,"https://www.airbnb.com/rooms/34206539"
"Crested Butte, Colorado, United States","38.9","-106.966","Comfortable 1 Bedroom Condo - Slopeside - No Cleaning Fee!","4","Entire condo","5","https://www.airbnb.com/rooms/45519208"
