"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Tamarin, Rivière Noire District, Mauritius","-20.34495","57.36432","Marguery Superior Pool Villa 2 bedroom","4","Entire villa",,"https://www.airbnb.com/rooms/19004078"
"Anaheim, California, United States","33.81332","-117.92152","🌊Ultimate Vacation 🌊⛳️🏓🕹Pool, Golf,  Arcade & more!","8","Entire home","5","https://www.airbnb.com/rooms/23110271"
"Stow, England, United Kingdom","53.32535","-0.6774","The Old Police House (UK31908)","6","Entire home",,"https://www.airbnb.com/rooms/46409463"
"Napa, California, United States","38.3025","-122.28994","Sommelier's Quarters","4","Entire rental unit","5","https://www.airbnb.com/rooms/18993094"
"Pau, Nouvelle-Aquitaine, France","43.2983","-0.37499","Bel appartement centre ville","2","Entire rental unit","5","https://www.airbnb.com/rooms/21395765"
"Pismo Beach, California, United States","35.1432","-120.64489","269 Wadsworth Ave","8","Entire townhouse","5","https://www.airbnb.com/rooms/41775178"
"London, Greater London, United Kingdom","51.45657","-0.1688","Elegant Family Home near Wandsworth Common","4","Entire home","5","https://www.airbnb.com/rooms/38537021"
"Virginia Beach, Virginia, United States","36.84696","-75.97953","Upscale ViBe 3 Blocks 2 Beach walk to everything!","6","Entire townhouse","5","https://www.airbnb.com/rooms/46037201"
"Rome, Italy","41.894","12.491","iFlat | Monti Penthouse Panoramic Terrace","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/25767851"
"Kidderminster, United Kingdom","52.35658","-2.22962","The Hayloft (30766)","5","Entire home","5","https://www.airbnb.com/rooms/30865617"
"Skenfrith, Wales, United Kingdom","51.88639","-2.79541","Malt House (UK31050)","8","Entire home","5","https://www.airbnb.com/rooms/44098945"
"Reepham, United Kingdom","52.76336","1.09037","The Cowshed (UKC3369)","4","Entire home",,"https://www.airbnb.com/rooms/30906276"
"Staffordshire, England, United Kingdom","52.681","-1.688","Farm House Dunnimere-up to 20 Hot Tub Available","16","Farm stay","5","https://www.airbnb.com/rooms/20547161"
"South Haven, Michigan, United States","42.36835","-86.29063","Our South Haven Retreat","15","Entire home","5","https://www.airbnb.com/rooms/29853847"
"Winchester, United Kingdom","51.066","-1.317","All the city has to offer just a stone's throw away","4","Entire home","4.5","https://www.airbnb.com/rooms/5276969"
"Horton in Ribblesdale, near Settle, United Kingdom","54.14753","-2.2961","Three Peaks House (UK2071)","6","Entire home","5","https://www.airbnb.com/rooms/30910974"
"Talskiddy, England, United Kingdom","50.45158","-4.94542","Primrose Cottage","4","Entire home",,"https://www.airbnb.com/rooms/46519500"
"Culver City, California, United States","33.98999","-118.42995","Peaceful Culver City Oasis","2","Private room in home","5","https://www.airbnb.com/rooms/22850491"
"North Cape May, New Jersey, United States","38.97504","-74.95842","Spacious North Cape May Home  Block to the Beach","6","Entire home","5","https://www.airbnb.com/rooms/39055264"
"Koloa, Hawaii, United States","21.876","-159.442","Rusty Sunrise","10","Entire home",,"https://www.airbnb.com/rooms/24382028"
"Stockholm, Stockholms län, Sweden","59.34575","18.03888","🥂*2IN1*2 Couples or big family/2bath2WC/Safe area🥂","4","Entire rental unit","5","https://www.airbnb.com/rooms/18523687"
"Noosa Heads, Queensland, Australia","-26.3943","153.09272","Prime Location, Views & Sunsets, Walk to Beach","8","Entire home","5","https://www.airbnb.com/rooms/53223000"
"Donostia, Spain","43.31466","-2.00091","Mayflower by FeelFree Rentals","8","Entire rental unit","5","https://www.airbnb.com/rooms/30333326"
"Ceglie Messapica, Puglia, Italy, Italy","40.67234","17.49005","HelloApulia Trulli Oleandro: Complex of Trulli with Pool","12","Trullo",,"https://www.airbnb.com/rooms/17195466"
