"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Gallatin Gateway, Montana, United States","45.30932","-111.38272","Big Sky ""Hive in the Sky"" Quonset Hut","4","Hut","5","https://www.airbnb.com/rooms/32473707"
"Anaconda, Montana, United States","46.17842","-113.25397","Georgetown/Anaconda home two minutes to lake","4","Entire home","5","https://www.airbnb.com/rooms/51027544"
"Nye, Montana, United States","45.49257","-109.67212","Charming renovated Stillwater River Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/49244950"
"Big Sky, Montana, United States","45.28746","-111.4031","Big Sky Vacation Rentals: Beaverhead 123 BH 301","14","Entire condo",,"https://www.airbnb.com/rooms/52914827"
"Somers, Montana, United States","48.08668","-114.27766","John's Cabin - Lake View in ""Hand-Crafted"" Cabin .","7","Entire cabin","5","https://www.airbnb.com/rooms/19875941"
"West Yellowstone, Montana, United States","44.65608","-111.10031","West Yellowstone 3 Bdrm Condo Resort","8","Entire serviced apartment","5","https://www.airbnb.com/rooms/2985465"
"West Yellowstone, Montana, United States","44.68278","-111.19943","New Listing! South Fork Cabin","6","Entire home","4.5","https://www.airbnb.com/rooms/53697895"
"West Yellowstone, Montana, United States","44.65419","-111.10118","Worldmark  King or QN 2ND  Last Minute Fall Deals3","6","Entire condo","5","https://www.airbnb.com/rooms/28575373"
"Bozeman, Montana, United States","45.65905","-111.16676","Cozy Cottage on Cobb Hill","6","Entire place","5","https://www.airbnb.com/rooms/11966172"
"Red Lodge, Montana, United States","45.28357","-109.41505","Enchanting Cabin, quiet, peaceful, stunning views","6","Entire cabin","5","https://www.airbnb.com/rooms/1200673"
"West Yellowstone, Montana, United States","44.65367","-111.10194","Yellowstone Resort, Montana- 2 Bd","6","Entire condo",,"https://www.airbnb.com/rooms/51819458"
"Whitefish, Montana, United States","48.34019","-114.32291","Harvest Moon Cabin","5","Entire cabin",,"https://www.airbnb.com/rooms/46331661"
"Whitefish, Montana, United States","48.4212","-114.35062","Whitefish Lake - Bay Point Resort","2","Entire condo","4.5","https://www.airbnb.com/rooms/6663406"
"Dayton, Montana, United States","47.864","-114.276","Wild Horse Vista Cabin #3","6","Entire cabin","5","https://www.airbnb.com/rooms/47319810"
"West Yellowstone, Montana, United States","44.65429","-111.10007","Worldmark  King or QN 2ND  Last Minute Fall Deals2","6","Entire condo","5","https://www.airbnb.com/rooms/28575471"
