"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Playa Los Destiladeros, Provincia de Los Santos, Panama","7.45455","-80.05227","Villa Aura: 6 Bedroom Oceanfront Villa w/Skatepark","12","Entire place",,"https://www.airbnb.com/rooms/53594942"
"Paris, Île-de-France, France","48.8473","2.32604","Sublime and new apartment Saint Germain des Près","8","Entire loft","4.5","https://www.airbnb.com/rooms/29847511"
"Noosa Heads, Queensland, Australia","-26.3943","153.09272","Prime Location, Views & Sunsets, Walk to Beach","8","Entire home","5","https://www.airbnb.com/rooms/53223000"
"Burleigh Heads, Queensland, Australia","-28.09356","153.44452","Burleigh Heads house with pool - walk to the beach","6","Entire home","5","https://www.airbnb.com/rooms/20679821"
"Cortona, Tuscany, Italy","43.27762","11.98511","Villa Santa Maria","12","Entire villa","4.5","https://www.airbnb.com/rooms/16185392"
"Broken Bow, Oklahoma, United States","34.12033","-94.76209","3 BR Luxury Waterview Cabin,Hot Tub,Fishing Lake","6","Entire cabin","4","https://www.airbnb.com/rooms/34173502"
"Bar Harbor, Maine, United States","44.38656","-68.20607","Fully Restored and Right in Downtown!","7","Entire home","5","https://www.airbnb.com/rooms/5022459"
"Rothbury, New South Wales, Australia","-32.72997","151.32421","Hunter & Vine","6","Entire home","5","https://www.airbnb.com/rooms/40824175"
"Greater London, England, United Kingdom","51.53595","-0.10047","Beautiful & Stylish 3 Bed House in Angel sleeps 6","6","Entire home","5","https://www.airbnb.com/rooms/30496091"
"Reno, Nevada, United States","39.45058","-119.73284","Lux Mt. View 30min to Tahoe Sleep22 5Beds 3.5Bath","16","Entire home","5","https://www.airbnb.com/rooms/53836563"
"Saint Ives, United Kingdom","50.2149","-5.48707","Trecarrack, Carthew Way","6","Entire home",,"https://www.airbnb.com/rooms/30163855"
"Bampton, near Exmoor, United Kingdom","50.98402","-3.48372","Mill Cottage - 14190 (14190)","6","Entire home","5","https://www.airbnb.com/rooms/29373495"
"Newquay, England, United Kingdom","50.41914","-5.09301","Fistral View - 3 Cribbar (BCCRIB03)","5","Entire rental unit","5","https://www.airbnb.com/rooms/40933642"
"Camden, Maine, United States","44.20318","-69.05902","Gorgeous 3 bedroom with gym. Perfect soc distance","5","Entire home","5","https://www.airbnb.com/rooms/3872823"
"Telluride, Colorado, United States","37.93817","-107.81773","Pacific Street Townhome 522A","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/25668958"
"Rhôs, near Pontardawe, Wales, United Kingdom","51.71214","-3.81071","Coed Y Nant Barn (UK6544)","6","Entire home",,"https://www.airbnb.com/rooms/30912068"
"Divonne-les-Bains, Auvergne-Rhône-Alpes, France","46.3735","6.14508","Superbe villa entière, 330m2, piscine chauffée","11","Entire home","5","https://www.airbnb.com/rooms/43800538"
"Alvor, Faro, Portugal","37.12577","-8.56876","*5 Star Luxury Mansion* | sea-view | heated pool","8","Entire villa","5","https://www.airbnb.com/rooms/24386817"
"Wellington, New Zealand","-41.268","174.766","Tranquil Retreat, Sun & bush views close to town.","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/12609407"
"Savannah, Georgia, United States","32.08151","-81.09494","Sonder at West Congress | Three-Bedroom Apartment","8","Entire rental unit","5","https://www.airbnb.com/rooms/44573523"
"Horton in Ribblesdale, near Settle, United Kingdom","54.14753","-2.2961","Three Peaks House (UK2071)","6","Entire home","5","https://www.airbnb.com/rooms/30910974"
"Dorset, England, United Kingdom","50.90338","-1.95437","Grooms Cottage - Scullery","4","Entire cottage","4.5","https://www.airbnb.com/rooms/47915748"
"Aspremont, Provence-Alpes-Côte d'Azur, France","43.79179","7.24713","Magnifique villa avec piscine et belle vue mer","10","Entire villa","5","https://www.airbnb.com/rooms/54005255"
"Crimscote, near Newbold, United Kingdom","52.12546","-1.65806","The Old Workshop  (29173)","8","Entire home","5","https://www.airbnb.com/rooms/30911313"
"Bentveld, Noord-Holland, Netherlands","52.36269","4.57093","Spacious villa with pool close to GP Formula 1","8","Entire villa","5","https://www.airbnb.com/rooms/50602087"
"Donostia, Spain","43.32482","-1.9836","Oteiza by FeelFree Rentals","8","Entire rental unit","5","https://www.airbnb.com/rooms/18905253"
"Oshkosh, Wisconsin, United States","44.00846","-88.60624","Quiet & close to EAA!","6","Entire home",,"https://www.airbnb.com/rooms/48848255"
"Koloa, Hawaii, United States","21.876","-159.442","Rusty Sunrise","10","Entire home",,"https://www.airbnb.com/rooms/24382028"
"New Orleans, Louisiana, United States","29.93058","-90.10458","La Maison De La Celebration","10","Entire home","5","https://www.airbnb.com/rooms/35944735"
"San Diego, California, United States","32.778","-117.253","Breezy Balconies & Ocean View!","12","Entire home","5","https://www.airbnb.com/rooms/15300989"
"Dyffryn Ardudwy, near Barmouth, United Kingdom","52.78406","-4.09725","Bwthyn Clyd (UK6586)","2","Entire home","5","https://www.airbnb.com/rooms/30914974"
"Near Tenterden, England, United Kingdom","51.06358","0.83197","Leacon Hall Oast (M491255)","6","Entire home","5","https://www.airbnb.com/rooms/34718376"
"Suffolk, England, United Kingdom","52.24799","0.70978","Bishops","4","Entire home","5","https://www.airbnb.com/rooms/52435614"
"Omro, Wisconsin, United States","44.0455","-88.66121","Unique country charm close to all city attractions","6","Entire home","5","https://www.airbnb.com/rooms/44591670"
"Selborne, near Alton, United Kingdom","51.09817","-0.94244","Stable Yard Cottage (UKC3314)","6","Entire home","5","https://www.airbnb.com/rooms/30887453"
"Le Teich, Nouvelle-Aquitaine, France","44.61561","-1.03555","Bassin d'Arcachon : Villa arborée avec piscine","8","Entire villa","5","https://www.airbnb.com/rooms/48865446"
"Vescovado, Toscana, Italy","43.17","11.392","VILLA ANGELINI 14+7, Emma Villas Exclusive","16","Entire villa",,"https://www.airbnb.com/rooms/30248926"
"Vancouver, British Columbia, Canada","49.27225","-123.17448","Steps to Ocean in Kitsilano","5","Entire home","4.5","https://www.airbnb.com/rooms/6423132"
"Marathon, Florida, United States","24.73","-81.04455","P60 - 201 East Bruce Court","8","Entire home","5","https://www.airbnb.com/rooms/49111216"
"Captiva, Florida, United States","26.52764","-82.18999","Your Relaxing Getaway Awaits! Free Parking, Onsite Seaside Golf, Tennis Court, 3 Pools","6","Entire rental unit",,"https://www.airbnb.com/rooms/45626140"
"Paris, France","48.868","2.288","Luxury+Service inclusive* Eiffel /Champs Elysees","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/1398589"
"Lindesnes, Agder, Norway","58.03848","7.20571","Stunning home in Spangereid with Sauna, WiFi and","12","Entire home",,"https://www.airbnb.com/rooms/48223174"
"Cours, Nouvelle-Aquitaine, France","44.32017","0.61608","Beautiful Farmhouse with Stunning Views","16","Entire villa","4.5","https://www.airbnb.com/rooms/26119129"
"Knodishall, United Kingdom","52.19988","1.51735","Reindeer Cottage, Sternfield","4","Entire home",,"https://www.airbnb.com/rooms/24961815"
"Tourrettes-sur-Loup, Provence-Alpes-Côte d'Azur, France","43.70404","7.04557","Charming and confortable private villa with pool","6","Entire villa","5","https://www.airbnb.com/rooms/17259847"
"Sant'Agata sui Due Golfi, Campania, Italy","40.59711","14.38674","Modern private property with sea views","8","Entire villa",,"https://www.airbnb.com/rooms/49902041"
"Flims Dorf, Switzerland","46.83813","9.27711","Guarda Flem, (Flims Dorf), 3.5 room apartment","8","Entire rental unit","5","https://www.airbnb.com/rooms/34523383"
"New York, United States","40.74519","-73.99592","Luxury Sky Palace!","6","Entire rental unit","5","https://www.airbnb.com/rooms/1040156"
"Torbay, England, United Kingdom","50.45867","-3.51255","Beach Mews","4","Entire home",,"https://www.airbnb.com/rooms/53929122"
"Fritton, near Great Yarmouth, United Kingdom","52.555","1.65155","The Shed (UKC1774)","4","Entire home","5","https://www.airbnb.com/rooms/30889869"
"Florence, Toscana, Italy","43.7458","11.23482","Villa with pool near the center of Florence","12","Entire villa","5","https://www.airbnb.com/rooms/25523196"
"Attersee am Attersee, Oberösterreich, Austria","47.915","13.537","B & B  Attersee","9","Entire home","5","https://www.airbnb.com/rooms/30731832"
"Tribanj, Zadar County, Croatia","44.35211","15.31331","House Sul Mare","10","Entire rental unit","5","https://www.airbnb.com/rooms/36652861"
"Orange, California, United States","33.82876","-117.82809","*COMPLETELY RENOVATED QUIETLUXURYHOME NEAR DISNEY*","10","Entire home","5","https://www.airbnb.com/rooms/38873034"
"South Haven, Michigan, United States","42.36835","-86.29063","Our South Haven Retreat","15","Entire home","5","https://www.airbnb.com/rooms/29853847"
"brooklyn, New York, United States","40.68083","-73.97","Magnificent Brooklyn Townhome to Shelter in Place","10","Entire home","5","https://www.airbnb.com/rooms/31120563"
"Newchapel, Cymru, United Kingdom","52.01823","-4.59144","2 Cilwendeg Lodge (UK31447)","4","Entire home",,"https://www.airbnb.com/rooms/45194807"
"Dennis, Massachusetts, United States","41.65707","-70.12066","400 feet to the Beach - Ocean.","6","Entire home","5","https://www.airbnb.com/rooms/19141722"
"Ceglie Messapica, Puglia, Italy, Italy","40.624","17.566","Trulli Itaka, now with 15% discount","8","Trullo","4.5","https://www.airbnb.com/rooms/16306266"
"Dover, Vermont, United States","42.99231","-72.8899","Chalet 4 bedroom+den Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/16187019"
"Los Angeles, California, United States","33.99318","-118.42319","Dreamy 3-Bedroom Home with Amazing Backyard Setup","7","Entire home","4.5","https://www.airbnb.com/rooms/53528900"
"Sorbiers, Auvergne-Rhône-Alpes, France","45.49928","4.44923","Villa contemporaine, 10 Pers, vue exceptionnelle","10","Entire home","5","https://www.airbnb.com/rooms/44173059"
"Paris, Île-de-France, France","48.869","2.302","Sweet Inn | Glamorous Apt. in the Triangle d'Or","6","Entire rental unit","4","https://www.airbnb.com/rooms/25645950"
"Les Gets, France","46.159","6.67","OZIGO - Modern apartment in luxury residence","12","Entire rental unit",,"https://www.airbnb.com/rooms/43515265"
"Bellegarde, Occitanie, France","43.7521","4.51318","Stunning home in Bellegarde with 4 Bedrooms, WiFi","9","Entire home","5","https://www.airbnb.com/rooms/50071891"
"San Diego, California, United States","32.74798","-117.21741","Point Loma home w tropical backyard/pool/ jacuzzi","8","Entire home","5","https://www.airbnb.com/rooms/4261182"
"Austin, Texas, United States","30.26","-97.736","Blocks to Convention Center and Rainey with Pool!","13","Entire home","5","https://www.airbnb.com/rooms/16236845"
"Rome, Lazio, Italy","41.905","12.482","Thebestinrome Vite Prestige","8","Entire rental unit","5","https://www.airbnb.com/rooms/9016814"
"West Glacier, Montana, United States","48.47587","-114.01335","Glacier Mountaintop Chalet","10","Entire home","4.5","https://www.airbnb.com/rooms/23784533"
"East Riding of Yorkshire, England, United Kingdom","53.82365","-0.7622","Rascal Wood (27617)","14","Entire home","4.5","https://www.airbnb.com/rooms/47951481"
"Key West, Florida, United States","24.55379","-81.79919","RENOVATED Duval Hideaway w/ Patio and Parking","6","Room in bed and breakfast","5","https://www.airbnb.com/rooms/22224972"
