"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Harbor Springs, Michigan, United States","45.42503","-84.92207","Harbor Hideaway","7","Entire condo","5","https://www.airbnb.com/rooms/29479891"
"Boyne Valley Township, Michigan, United States","45.16769","-84.93318","628 Disciples Village","12","Entire condo",,"https://www.airbnb.com/rooms/45667265"
"East Jordan, Michigan, United States","45.15641","-85.14659","Lake Charlevoix / Skybridge / Golf / Ski  / Hike","13","Entire home","5","https://www.airbnb.com/rooms/51176548"
"Indian River, Michigan, United States","45.40956","-84.62181","#wheretherivermeetsthelake","6","Entire cottage","4.5","https://www.airbnb.com/rooms/12171497"
"East Jordan, Michigan, United States","45.25531","-85.14366","4 plus bedroom 4 Bath 10 Acre  Private Retreat","10","Entire chalet",,"https://www.airbnb.com/rooms/17854239"
"Bellaire, Michigan, United States","44.94043","-85.14327","Hillside Chalet at top of Schuss","14","Entire home","4.5","https://www.airbnb.com/rooms/27678267"
"East Jordan, Michigan, United States","45.15523","-85.14378","Whiskey's Landing - snowmobiling, skiing, swimming","8","Entire home","5","https://www.airbnb.com/rooms/47515176"
"Gaylord, Michigan, United States","44.96041","-84.71819","2487 - Golfside Log Cabin Home within Beaver Creek Resort","11","Entire home",,"https://www.airbnb.com/rooms/50026155"
"Bellaire, Michigan, United States","44.93735","-85.26315","Clam Lake Access - sleeps 12","12","Entire home","5","https://www.airbnb.com/rooms/49774620"
"Gaylord, Michigan, United States","44.95928","-84.71782","2475 - Eye-Catching Log Cabin Home within Beaver Creek","9","Entire home","3.5","https://www.airbnb.com/rooms/48995411"
"Gaylord, Michigan, United States","44.95931","-84.71852","2498 - Spacious Log Cabin Home within Beaver Creek Resort","10","Entire home","5","https://www.airbnb.com/rooms/48995416"
"Wolverine, Michigan, United States","45.2745","-84.59868","Cozy Home in the Winter-Wonderland","4","Entire home",,"https://www.airbnb.com/rooms/37741322"
"Bellaire, Michigan, United States","44.93674","-85.13954","Trillium North on the Golf Course","10","Entire home","5","https://www.airbnb.com/rooms/43497617"
"Bellaire, Michigan, United States","44.97552","-85.19421","Located  Between Shanty Creek &  Downtown Bellaire","7","Entire rental unit","5","https://www.airbnb.com/rooms/52220183"
"Bellaire, Michigan, United States","44.94457","-85.13839","Shanty Creek Cedar River Ski/Slope Side Condo","8","Entire condo","5","https://www.airbnb.com/rooms/34641399"
"Mancelona, Michigan, United States","44.94425","-85.14577","Schuss Mountain Chalet","12","Entire home","4.5","https://www.airbnb.com/rooms/42273907"
"Bellaire, Michigan, United States","44.94632","-85.14449","Family Retreat at Cedar River","8","Entire condo","5","https://www.airbnb.com/rooms/22247415"
"Bellaire, Michigan, United States","44.94444","-85.13819","Shanty Golf and Ski In/Out Cedar River Valley","8","Entire condo","5","https://www.airbnb.com/rooms/42888982"
"Boyne City, Michigan, United States","45.2157","-85.00765","Boyne River View","6","Entire home","5","https://www.airbnb.com/rooms/30087183"
"Bellaire, Michigan, United States","44.96184","-85.12168","The Cabin at the Ranch","5","Entire cabin","5","https://www.airbnb.com/rooms/47855863"
"Bellaire, Michigan, United States","44.91871","-85.22469","Indian Gold - close to Torch Lake -sleeps 8","8","Entire cottage","5","https://www.airbnb.com/rooms/19325498"
"Gaylord, Michigan, United States","45.0317","-84.73455","Snowbelt Bunkhouse","16","Entire home","5","https://www.airbnb.com/rooms/48135572"
"East Jordan, Michigan, United States","45.25641","-85.1813","Ironton Shore Farms
A VintageVacation Destination","11","Entire home","5","https://www.airbnb.com/rooms/20214777"
"Boyne Falls, Michigan, United States","45.16756","-84.91509","Breathtaking Boyne Mountain!!!","6","Room in boutique hotel","5","https://www.airbnb.com/rooms/15929345"
"Bellaire, Michigan, United States","44.94392","-85.13805","I'll Be Back Ski in/out condo","10","Entire condo","5","https://www.airbnb.com/rooms/22247413"
"Bellaire, Michigan, United States","45.03783","-85.25573","Large Cottage on Intermediate Lake for summer fun!","14","Entire home","5","https://www.airbnb.com/rooms/22247416"
"Bellaire, Michigan, United States","44.95622","-85.19136","Chalet in Shanty Creek  - Golf, boating, skiing","16","Entire chalet","5","https://www.airbnb.com/rooms/30390320"
"Mancelona, Michigan, United States","44.946","-85.071","Wolf Lodge - Relaxing Getaway in Northern Michigan","12","Entire home","5","https://www.airbnb.com/rooms/37009577"
