"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Kalkaska, Michigan, United States","44.82265","-84.89435","North Blue Lake Escape - 1/4mi to Blue Bear Trail!","8","Entire home","5","https://www.airbnb.com/rooms/35837378"
"East Jordan, Michigan, United States","45.1576","-85.14677","Beautiful 3-Bedroom, 2-Bath Condo. Lake Front","6","Entire condo","5","https://www.airbnb.com/rooms/52309047"
"Harbor Springs, Michigan, United States","45.45719","-85.04169","Up North Escape: Golf + Pool Access - Near Skiing!","10","Entire home","4.5","https://www.airbnb.com/rooms/51212195"
"Torch Lake Township, Michigan, United States","45.09578","-85.36383","🏘️ Stunning New 4BDR Golf House by Torch Lake!","12","Entire home","5","https://www.airbnb.com/rooms/52026926"
"Kalkaska, Michigan, United States","44.80872","-84.91923","Private Squaw Lake -ORV trails right off property","12","Entire home","5","https://www.airbnb.com/rooms/49362888"
"Harbor Springs, Michigan, United States","45.42572","-84.92413","Harbor Cove #68 - SKI! Sandy Beach!","7","Entire condo",,"https://www.airbnb.com/rooms/19407266"
"Harbor Springs, Michigan, United States","45.482","-84.91","Cozy Trout Creek Condo | Sleeps 4","4","Entire condo","5","https://www.airbnb.com/rooms/44632049"
"Charlevoix, Michigan, United States","45.24091","-85.1767","Lake Charlevoix:  Beautiful Summer Vacation Home!","6","Entire cottage","5","https://www.airbnb.com/rooms/36309862"
"Gaylord, Michigan, United States","44.965","-84.684","Winterferienhaus! Welcome to all Winter sports!","10","Entire home","5","https://www.airbnb.com/rooms/53025614"
"Indian River, Michigan, United States","45.45666","-84.58343","Make Memories on Mullett Lake","12","Entire cottage","4.5","https://www.airbnb.com/rooms/18607568"
"Harbor Springs, Michigan, United States","45.44855","-84.88631","Hideaway Valley #19 - Outdoor Pool! Close to Golf + Skiing - Sleeps 8!","8","Entire condo","5","https://www.airbnb.com/rooms/45400432"
"Wolverine, Michigan, United States","45.2745","-84.59868","Cozy Home in the Winter-Wonderland","4","Entire home",,"https://www.airbnb.com/rooms/37741322"
"Elk Rapids, Michigan, United States","44.89729","-85.41311","Enchanting Victoria Place in Elk Rapids, MI","8","Entire home",,"https://www.airbnb.com/rooms/21263122"
"Petoskey, Michigan, United States","45.41297","-84.86205","Luxury Crooked Lake waterfront Coach house","7","Entire home","4","https://www.airbnb.com/rooms/34245891"
"Bellaire, Michigan, United States","44.93735","-85.26315","Clam Lake Access - sleeps 12","12","Entire home","5","https://www.airbnb.com/rooms/49774620"
"Elk Rapids, Michigan, United States","44.88817","-85.39993","Elk Lake Beachfront Condo - 206","8","Entire condo","5","https://www.airbnb.com/rooms/43041714"
"Williamsburg, Michigan, United States","44.80307","-85.44311","Engle Farm House","16","Entire home",,"https://www.airbnb.com/rooms/43316032"
"Elk Rapids, Michigan, United States","44.8867","-85.39858","Elk Lake Beachfront Condo - 501","5","Entire condo",,"https://www.airbnb.com/rooms/43008986"
"Gaylord, Michigan, United States","44.95928","-84.71782","2475 - Eye-Catching Log Cabin Home within Beaver Creek","9","Entire home","3.5","https://www.airbnb.com/rooms/48995411"
"Bellaire, Michigan, United States","44.93674","-85.13954","Trillium North on the Golf Course","10","Entire home","5","https://www.airbnb.com/rooms/43497617"
"Charlevoix, Michigan, United States","45.32018","-85.25766","343 Edgewater Inn","6","Entire condo",,"https://www.airbnb.com/rooms/53399410"
"Charlevoix, Michigan, United States","45.31393","-85.26187","Charlevoix Cottage on Upright","6","Entire home","5","https://www.airbnb.com/rooms/35158526"
"Charlevoix, Michigan, United States","45.30939","-85.25949","Charlevoix Charmer KING beds .7 miles to LAKES","10","Entire home","5","https://www.airbnb.com/rooms/34805589"
"Elk Rapids, Michigan, United States","44.89618","-85.41406","Victorian Elk Rapids rental, sleeps 8","8","Entire home",,"https://www.airbnb.com/rooms/27327194"
"Charlevoix, Michigan, United States","45.3208","-85.25329","Charlevoix intown home","6","Entire home","5","https://www.airbnb.com/rooms/34929131"
"Rapid City, Michigan, United States","44.84752","-85.32283","Family Home on Torch River - Sandbar 5min by boat!","6","Entire home","5","https://www.airbnb.com/rooms/50311978"
"Rapid City, Michigan, United States","44.83136","-85.31857","Beautiful home across from Torch River!","12","Entire home",,"https://www.airbnb.com/rooms/20110816"
"Charlevoix, Michigan, United States","45.31643","-85.26001","Downtown Charlevoix Condominium","6","Entire rental unit","5","https://www.airbnb.com/rooms/22597334"
"Gaylord, Michigan, United States","44.95931","-84.71852","2498 - Spacious Log Cabin Home within Beaver Creek Resort","10","Entire home","5","https://www.airbnb.com/rooms/48995416"
"Elk Rapids, Michigan, United States","44.89606","-85.39949","Visit Elk Rapids, Traverse, Petoskey & Charlevoix!","10","Entire home","5","https://www.airbnb.com/rooms/6182830"
"Petoskey, Michigan, United States","45.37016","-84.95491","Converted church in Downtown Petoskey","6","Entire home",,"https://www.airbnb.com/rooms/46125618"
"Charlevoix, Michigan, United States","45.32227","-85.20912","Oyster Bay Rustic Log Cabin","8","Entire cabin","4.5","https://www.airbnb.com/rooms/50048775"
"Bellaire, Michigan, United States","44.94632","-85.14449","Family Retreat at Cedar River","8","Entire condo","5","https://www.airbnb.com/rooms/22247415"
"Boyne City, Michigan, United States","45.2294","-85.08507","120+feet on a gorgeous lake in Boyne Country!","4","Entire cabin","4.5","https://www.airbnb.com/rooms/16256672"
"Charlevoix, Michigan, United States","45.31408","-85.25761","Walk To Downtown Charlevoix -Avail Oct 7-10","7","Entire home","5","https://www.airbnb.com/rooms/17584926"
"Boyne City, Michigan, United States","45.2157","-85.00765","Boyne River View","6","Entire home","5","https://www.airbnb.com/rooms/30087183"
"Petoskey, Michigan, United States","45.41342","-84.86307","Crooked lake cottage (near Petoskey)","6","Entire home",,"https://www.airbnb.com/rooms/23006801"
"Harbor Springs, Michigan, United States","45.43204","-84.97736","Harbor Cove #64 Sandy Beach - Close to Skiing!","6","Entire condo",,"https://www.airbnb.com/rooms/597673798403062000"
"Alden, Michigan, United States","44.9273","-85.28696","Classic Lake Cottage","8","Entire home","4.5","https://www.airbnb.com/rooms/23899306"
"Charlevoix, Michigan, United States","45.32458","-85.25345","Chateau le Charlevoix","6","Entire home","5","https://www.airbnb.com/rooms/48546176"
"Alden, Michigan, United States","44.88311","-85.2747","Alden Cottage Across from Beautiful Torch Lake","4","Entire cottage","4.5","https://www.airbnb.com/rooms/19495949"
"Elk Rapids, Michigan, United States","44.89805","-85.41293","The Delaney House","12","Entire home","5","https://www.airbnb.com/rooms/35999412"
